id,genre,lang,lang_prob
ark:/67375/M70-VJD6MDS0-X,research-article,fr,0.9650158882141113
ark:/67375/M70-VJP3LQ0K-B,research-article,fr,0.9680819511413574
ark:/67375/6H6-XZZF938X-5,research-article,de,0.9085038900375366
ark:/67375/HXZ-LX8DD4MJ-K,research-article,uk,0.08123869448900223
ark:/67375/HXZ-P13FWX21-7,research-article,uk,0.14903531968593597
ark:/67375/HXZ-Z06JPHK2-Z,other,de,0.2631572186946869
ark:/67375/M70-3TQCHXFL-J,other,fr,0.9519363045692444
ark:/67375/JKT-6MNX3QWS-3,research-article,it,0.957411527633667
ark:/67375/JKT-6MRCHKLH-Z,research-article,it,0.9545331597328186
ark:/67375/JKT-6N59Q158-7,research-article,de,0.9795385003089905
ark:/67375/JKT-6QFFJH11-M,research-article,it,0.9692269563674927
ark:/67375/JKT-6V3LQ5BS-0,research-article,it,0.9653856754302979
ark:/67375/JKT-6VRJMRZW-Q,research-article,de,0.9493677616119385
ark:/67375/JKT-6WS76HQ5-7,research-article,it,0.9651759266853333
ark:/67375/JKT-6XFWFS7X-J,research-article,fr,0.9580633640289307
ark:/67375/JKT-6ZRTRHZ4-2,research-article,de,0.9417608380317688
ark:/67375/JKT-71MKHBVS-Q,research-article,it,0.9599595069885254
ark:/67375/JKT-72TVH7X7-D,research-article,it,0.9646753072738647
ark:/67375/JKT-74727C8H-J,research-article,de,0.9877742528915405
ark:/67375/JKT-7715VKCF-0,research-article,it,0.9680138826370239
ark:/67375/JKT-7B5GXKMX-X,research-article,de,0.9700765609741211
ark:/67375/JKT-7DGC3WVX-1,research-article,it,0.9663733839988708
ark:/67375/JKT-7FC94KHS-L,research-article,it,0.9742085933685303
ark:/67375/JKT-7JT7TJQK-B,research-article,it,0.8927143812179565
ark:/67375/JKT-7S6WZF61-T,research-article,it,0.9419816136360168
ark:/67375/JKT-7SCH2RWD-6,research-article,it,0.9486775994300842
ark:/67375/WNG-0FJM6W7K-3,article,de,0.9479133486747742
ark:/67375/JKT-CDSCS202-G,research-article,de,0.9817094206809998
ark:/67375/JKT-CDX59C5Z-4,research-article,it,0.9752801656723022
ark:/67375/JKT-CF331P44-V,research-article,fr,0.9388626217842102
ark:/67375/JKT-CF57XB9B-G,research-article,fr,0.9634478092193604
ark:/67375/JKT-CF6DG54T-X,research-article,it,0.9343927502632141
ark:/67375/JKT-CG1WF7GN-8,research-article,it,0.9567334055900574
ark:/67375/JKT-CGRCVZ2R-F,research-article,it,0.9556442499160767
ark:/67375/JKT-CP2PF4Q8-R,research-article,it,0.9624210596084595
ark:/67375/JKT-CQ4FC0XP-T,research-article,it,0.9419647455215454
ark:/67375/JKT-CW19JJSV-3,research-article,it,0.9657122492790222
ark:/67375/JKT-CWH5BXN0-R,research-article,it,0.9628200531005859
ark:/67375/JKT-D095P2QL-3,research-article,it,0.9721654057502747
ark:/67375/JKT-D0WF0MFQ-C,research-article,it,0.9561794996261597
ark:/67375/JKT-D23QRNT9-B,research-article,it,0.9564595222473145
ark:/67375/JKT-D2HQ9190-0,research-article,it,0.8924704194068909
ark:/67375/JKT-D3CDHG5T-V,research-article,it,0.9426158666610718
ark:/67375/JKT-D74Q4T9K-Q,research-article,it,0.9184436202049255
ark:/67375/JKT-DCTVNQLS-4,research-article,de,0.9070189595222473
ark:/67375/JKT-DGK45QV5-R,research-article,fr,0.9606227278709412
ark:/67375/JKT-DHSP82P7-0,research-article,it,0.9633605480194092
ark:/67375/JKT-DHSQ0TPG-D,research-article,it,0.9585515856742859
ark:/67375/JKT-DP6PX92P-9,research-article,it,0.9144401550292969
ark:/67375/JKT-DQZ84WHK-7,research-article,it,0.9685314893722534
ark:/67375/JKT-DZ63DDGG-H,research-article,de,0.9654775857925415
ark:/67375/JKT-DZC8H72C-P,research-article,it,0.9553605318069458
ark:/67375/JKT-F03X3NQF-B,research-article,fr,0.9443670511245728
ark:/67375/JKT-F48MDMPH-W,research-article,de,0.9843859076499939
ark:/67375/JKT-F553P80N-N,research-article,fr,0.9688507318496704
ark:/67375/JKT-F9R2JVB7-H,research-article,de,0.9233947992324829
ark:/67375/JKT-FB7LHMJC-S,research-article,it,0.9000459313392639
ark:/67375/JKT-FBRWGHK0-L,research-article,it,0.19430787861347198
ark:/67375/JKT-FBZXLR31-6,research-article,de,0.992214024066925
ark:/67375/JKT-FP528H85-7,research-article,it,0.9458106756210327
ark:/67375/JKT-FQC8VV6J-Z,research-article,it,0.9381521344184875
ark:/67375/JKT-FSBZ1W6H-R,research-article,fr,0.9573427438735962
ark:/67375/JKT-FVW5TTNX-G,research-article,de,0.9882022142410278
ark:/67375/JKT-FWFGJMG3-7,research-article,it,0.9677128195762634
ark:/67375/JKT-FWNVRRHW-S,research-article,fr,0.6984145641326904
ark:/67375/JKT-FWZNCSLL-N,research-article,it,0.9505282044410706
ark:/67375/JKT-Z3SC7DJ4-7,research-article,it,0.9634007215499878
