id,total_words,lexicality,avg_zipf
ark:/67375/VQC-3Q583KKN-N,3208,43.14214463840399,4.505166184971098
ark:/67375/WNG-XS5153MB-K,1172,31.825938566552903,3.874048257372654
ark:/67375/WNG-XS891Q6Q-W,1263,23.832145684877275,3.7467109634551496
ark:/67375/WNG-LSS8TZ9H-S,1666,42.07683073229292,4.30148359486448
ark:/67375/6H6-LMTMXDR1-9,2667,43.8695163104612,4.275572649572649
ark:/67375/VQC-Z39M2WL4-6,2047,49.82901807523204,4.503725490196079
ark:/67375/WNG-14DC1BD4-6,1371,45.0036469730124,4.072398703403565
ark:/67375/WNG-2P6P6MSZ-N,958,31.62839248434238,2.9334653465346534
ark:/67375/WNG-JJ6PKBS8-K,2510,46.45418326693227,3.0560377358490567
ark:/67375/WNG-KKW29LH1-B,1231,49.87814784727863,3.399039087947883
ark:/67375/VQC-20MPQMDV-7,1209,40.44665012406948,4.470265848670757
ark:/67375/WNG-RW6G3BXW-L,1702,32.608695652173914,3.88181981981982
ark:/67375/WNG-T9KC0ZV8-G,1571,29.34436664544876,3.411323210412148
ark:/67375/WNG-N9F9R8RC-Z,1200,41.583333333333336,3.67503006012024
ark:/67375/6H6-CR3F1WM2-W,3710,40.40431266846361,4.249399599733156
ark:/67375/WNG-3HN0FMKP-Z,944,43.22033898305085,3.6812254901960784
ark:/67375/WNG-4JKCNFZT-8,1058,38.46880907372401,4.156289926289926
ark:/67375/WNG-4BF1DL0H-T,1090,41.559633027522935,4.0470419426048565
ark:/67375/WNG-96T6TBVT-M,1013,38.20335636722606,4.184496124031008
ark:/67375/WNG-JCH02DB7-P,959,32.95099061522419,3.015569620253165
ark:/67375/WNG-LWJHN3F9-5,733,41.88267394270122,3.2202931596091204
ark:/67375/WNG-184BSVZD-D,1021,30.36238981390793,3.128483870967742
ark:/67375/WNG-BCPP6Z9B-8,1625,29.6,2.679022869022869
ark:/67375/WNG-WBL0S7WK-S,669,35.276532137518686,2.568898305084746
ark:/67375/VQC-TW9G5VV4-T,2069,47.317544707588205,4.710572012257405
ark:/67375/6H6-VS50QP2N-N,2112,43.84469696969697,4.272278617710583
ark:/67375/WNG-LPF76V5G-6,779,41.59178433889602,3.6138580246913583
ark:/67375/WNG-59B6S1V7-P,2464,31.25,2.5336623376623377
ark:/67375/WNG-C2FDN5XT-D,1622,34.5869297163995,4.16795008912656
ark:/67375/WNG-F3MRVJNV-6,1894,27.8247096092925,3.966432637571157
ark:/67375/WNG-S3ZQGPBW-F,1196,30.51839464882943,3.544630136986301
ark:/67375/6H6-KKT2HM86-B,963,42.36760124610592,4.737916666666666
ark:/67375/VQC-1CRQFTMP-6,873,49.71363115693013,4.79705069124424
ark:/67375/WNG-DTVHS6VG-N,2161,49.37528921795465,3.7695501405810687
ark:/67375/WNG-0PXJHZKC-L,880,37.5,2.622090909090909
ark:/67375/WNG-0H1SRCCF-1,2606,45.47198772064467,4.085915611814347
