id,total_words,lexicality,avg_zipf
ark:/67375/6H6-MXF9K1NN-X,22992,21.233472512178142,5.458934862761163
ark:/67375/6H6-Q175LDHL-1,20426,20.65015176735533,5.556678520625889
ark:/67375/6H6-KW0ZL885-X,16100,21.049689440993788,5.681912068456772
ark:/67375/6H6-BZ47GW6H-M,30451,21.85806705855309,5.81119140625
ark:/67375/6H6-DSGRRS6D-J,20627,21.660929849226743,5.825114145031334
ark:/67375/6H6-CG3T5DTD-R,15348,20.849622100599422,5.497315625
ark:/67375/6H6-F4Z09DL7-4,12685,22.506897910918408,5.767253940455341
ark:/67375/6GQ-07QRF7K4-6,2392,38.21070234113713,3.133884026258205
ark:/67375/6H6-WPVBLMSM-G,27347,21.647712729001352,5.668427364864866
ark:/67375/6H6-VKJQ939Q-P,22057,21.875141678378743,5.50981347150259
ark:/67375/6H6-F7ZT1FBV-8,18647,21.64959510913284,5.786717859796879
ark:/67375/6H6-CK9GDMWL-2,19059,21.37048113752033,5.568256813159833
ark:/67375/6H6-LMWWDNNR-8,13915,21.473230326985263,5.66622155287818
