id,total_words,lexicality,avg_zipf
ark:/67375/1BB-0DPL4479-Q,750,45.06666666666666,4.286863905325444
ark:/67375/1BB-2CH4FSM8-W,2750,43.52727272727272,4.674001670843776
ark:/67375/1BB-36XFPPQC-2,1310,48.62595419847328,4.647990580847724
ark:/67375/1BB-5D3RRC3M-G,2593,48.59236405707674,4.743063492063492
ark:/67375/1BB-8G761C0W-X,2533,46.19028819581524,4.509743589743589
ark:/67375/1BB-D65CVVDC-1,2261,46.5280849181778,4.899363117870722
ark:/67375/1BB-D9LJBWBD-V,4177,47.90519511611204,4.848645677161419
ark:/67375/1BB-F54LSRXZ-R,8315,46.20565243535778,4.725385216033316
ark:/67375/1BB-FCDT6TTD-2,10012,45.69516580103876,4.6105442622950825
ark:/67375/1BB-FW2HP1NW-J,1939,43.47601856627127,4.097366548042705
ark:/67375/1BB-GH3CF7VJ-2,9537,47.38387333543043,4.607745076344324
ark:/67375/1BB-GLV8VHR3-7,2700,47.0,4.440780141843972
ark:/67375/1BB-GSNWNBS7-B,843,48.51720047449584,4.473080684596577
ark:/67375/1BB-JM4HC6TN-8,2928,47.540983606557376,4.421357758620689
ark:/67375/1BB-KBK2438L-4,1601,49.71892567145534,4.791959798994975
ark:/67375/1BB-LGTSF9JV-G,2389,48.09543742151528,4.118537859007833
ark:/67375/1BB-LHC7LVHR-V,1871,42.4906467129877,4.018465408805032
ark:/67375/1BB-N0P3S49P-S,2624,48.13262195121951,4.274394299287411
ark:/67375/1BB-RCGM1P3V-T,832,47.59615384615385,4.392727272727273
ark:/67375/1BB-RXZK6FKK-T,3596,48.77641824249166,4.631225769669327
ark:/67375/1BB-WBW82J0C-N,7404,48.83846569421934,4.3541841814159294
ark:/67375/1BB-WQXGFNHX-M,3939,48.43869002284844,4.71166142557652
ark:/67375/1BB-X94478BL-R,3092,43.91979301423027,4.399499263622976
ark:/67375/1BB-XVKGRRDT-V,15634,43.13675323013944,4.674433570581257
ark:/67375/1N6-0MDCBTR1-C,865,32.25433526011561,4.120250896057348
ark:/67375/5FQ-0DP6715H-Q,2595,40.115606936416185,4.409125840537944
ark:/67375/5FQ-10X2W1Q0-5,13090,40.947288006111535,4.445236940298508
ark:/67375/5FQ-4L2N40H0-S,9431,41.18333156611176,4.547247682801236
ark:/67375/5FQ-8F8D39SB-X,4152,35.8140655105973,4.85226630800269
ark:/67375/5FQ-GZXN4MGV-7,6914,49.76858547873879,4.742194129613484
ark:/67375/5FQ-MB1QBL82-M,7114,33.82063536688221,4.586338320864505
ark:/67375/5FQ-QJPS18G8-9,7311,48.92627547531118,4.716561364271736
ark:/67375/5FQ-S6RF5N47-P,3512,40.546697038724375,4.69000702247191
ark:/67375/6GQ-00C4W2TH-T,5972,47.80643000669792,4.633761821366024
ark:/67375/6GQ-03J3N2W0-7,2120,45.47169811320755,3.90905601659751
ark:/67375/6GQ-07QRF7K4-6,2392,15.09197324414716,5.450609418282549
ark:/67375/6GQ-1G2WW56Q-B,8029,49.24648150454602,4.624633282751644
ark:/67375/6GQ-1VK0K36B-C,2439,49.89749897498975,4.62176663927691
ark:/67375/6GQ-8SPPV0BH-T,6493,47.297089172955495,4.115548681211332
ark:/67375/6GQ-BR5G445S-2,2609,38.55883480260636,4.4426341948310135
ark:/67375/6GQ-F6739WKN-D,1669,49.31096464949072,4.778116646415553
ark:/67375/6GQ-HMPRPJP3-G,1100,39.63636363636363,4.902775229357799
ark:/67375/6GQ-KK1K8BHC-H,2435,32.73100616016427,4.7557716436637385
ark:/67375/6GQ-MCF651Q9-1,1770,48.47457627118644,4.317622377622378
ark:/67375/6GQ-P65BGD3Z-T,5714,45.274763738186905,4.191878623888674
ark:/67375/6GQ-PDT8WLXP-1,655,44.27480916030535,4.903344827586207
ark:/67375/6GQ-PWQWL5BQ-3,1095,49.77168949771689,4.238165137614679
ark:/67375/6GQ-Q4MV5948-0,11401,49.8377335321463,4.718152059134108
ark:/67375/6GQ-QRQNJCKM-3,2026,49.95064165844028,4.138211462450593
ark:/67375/6GQ-T3DFR55R-7,4825,47.23316062176166,4.222566915313734
ark:/67375/6GQ-TGJGDBLM-P,7985,49.5929868503444,4.673388888888889
ark:/67375/6GQ-V6VN6NQT-N,5668,49.38249823570924,4.355555555555556
ark:/67375/6GQ-V9H8CJ18-K,2821,46.43743353420773,4.562832061068702
ark:/67375/6GQ-VDFM3S3Z-P,6259,45.02316664003834,4.168271823988644
ark:/67375/6GQ-XSLJ8FNM-4,10780,49.46196660482375,4.247259939984996
ark:/67375/6H6-1JFX5TSZ-X,1357,45.39425202652911,4.548181818181818
ark:/67375/6H6-2VSCHS7Z-5,1866,36.12004287245445,4.2179228486646885
ark:/67375/6H6-4S5C5039-X,3177,46.52187598363236,4.338382949932341
ark:/67375/6H6-6BNDZNX6-D,4319,47.18684880759435,4.37707065750736
ark:/67375/6H6-81G1C545-2,812,46.67487684729064,4.324221635883905
ark:/67375/6H6-99T1RFHD-7,2331,49.89274989274989,5.355296646603612
ark:/67375/6H6-BZ47GW6H-M,30451,21.532954582772323,5.870610035077018
ark:/67375/6H6-C19LBFDJ-3,1792,47.54464285714285,4.431208920187793
ark:/67375/6H6-C3W11LQ1-0,2256,49.11347517730496,4.544954873646209
ark:/67375/6H6-CG3T5DTD-R,15348,19.950482147511075,5.666374918354016
ark:/67375/6H6-CK9GDMWL-2,19059,20.75135106773703,5.677823008849558
ark:/67375/6H6-DSGRRS6D-J,20627,21.229456537547875,5.904473624115094
ark:/67375/6H6-F4Z09DL7-4,12685,22.1048482459598,5.83567760342368
ark:/67375/6H6-F7ZT1FBV-8,18647,21.370729876119483,5.837425345043915
ark:/67375/6H6-FM7NKHN7-X,1982,47.527749747729565,5.272526539278132
ark:/67375/6H6-G69HB8K1-M,2704,44.67455621301775,4.583004966887418
ark:/67375/6H6-KW0ZL885-X,16100,20.06832298136646,5.869198390591149
ark:/67375/6H6-LMWWDNNR-8,13915,20.754581386992456,5.799148199445983
ark:/67375/6H6-MXF9K1NN-X,22992,20.23312456506611,5.634475494411007
ark:/67375/6H6-NJGPWMGH-G,729,47.73662551440329,4.480689655172414
ark:/67375/6H6-P88Z8T6X-L,5361,48.4984144749114,4.388707692307692
